Column3;Column4;Column5;Column6;Column7;Column8
 -1.492622575833213E+07; -1.954144948154941E+08;  4.174941064731628E+05;  2.426915987911971E+01;  1.476282243827353E+01; -7.616167773316453E-01
 -1.491894520083696E+07; -1.954100658396123E+08;  4.172656211596131E+05;  2.426789008274687E+01;  1.476368342533000E+01; -7.616186460768697E-01
 -1.491166502428606E+07; -1.954056366054479E+08;  4.170371352856457E+05;  2.426662025038627E+01;  1.476454432212651E+01; -7.616205135939547E-01
 -1.490438522869033E+07; -1.954012071130281E+08;  4.168086488515884E+05;  2.426535038204695E+01;  1.476540512864613E+01; -7.616223798844635E-01
 -1.489710581406045E+07; -1.953967773623798E+08;  4.165801618578285E+05;  2.426408047773867E+01;  1.476626584487219E+01; -7.616242449502861E-01
 -1.488982678040731E+07; -1.953923473535302E+08;  4.163516743047386E+05;  2.426281053747189E+01;  1.476712647078841E+01; -7.616261087936573E-01
 -1.488254812774161E+07; -1.953879170865063E+08;  4.161231861926913E+05;  2.426154056125767E+01;  1.476798700637888E+01; -7.616279714171057E-01
 -1.487526985607412E+07; -1.953834865613354E+08;  4.158946975220144E+05;  2.426027054910774E+01;  1.476884745162812E+01; -7.616298328234201E-01
 -1.486799196541569E+07; -1.953790557780445E+08;  4.156662082931250E+05;  2.425900050103436E+01;  1.476970780652119E+01; -7.616316930156843E-01
 -1.486071445577711E+07; -1.953746247366605E+08;  4.154377185063064E+05;  2.425773041705033E+01;  1.477056807104366E+01; -7.616335519972006E-01
 -1.485343732716906E+07; -1.953701934372109E+08;  4.152092281620353E+05;  2.425646029716897E+01;  1.477142824518168E+01; -7.616354097714986E-01
 -1.484616057960239E+07; -1.953657618797225E+08;  4.149807372605950E+05;  2.425519014140406E+01;  1.477228832892201E+01; -7.616372663422952E-01
 -1.483888421308783E+07; -1.953613300642225E+08;  4.147522458023578E+05;  2.425391994976975E+01;  1.477314832225210E+01; -7.616391217135101E-01
 -1.483160822763610E+07; -1.953568979907382E+08;  4.145237537876666E+05;  2.425264972228064E+01;  1.477400822516002E+01; -7.616409758892022E-01
 -1.482433262325802E+07; -1.953524656592965E+08;  4.142952612169385E+05;  2.425137945895164E+01;  1.477486803763460E+01; -7.616428288735850E-01
 -1.481705739996433E+07; -1.953480330699246E+08;  4.140667680904567E+05;  2.425010915979797E+01;  1.477572775966538E+01; -7.616446806709840E-01
 -1.480978255776569E+07; -1.953436002226497E+08;  4.138382744086236E+05;  2.424883882483514E+01;  1.477658739124264E+01; -7.616465312858285E-01
 -1.480250809667298E+07; -1.953391671174989E+08;  4.136097801718116E+05;  2.424756845407888E+01;  1.477744693235743E+01; -7.616483807226304E-01
 -1.479523401669687E+07; -1.953347337544993E+08;  4.133812853803188E+05;  2.424629804754511E+01;  1.477830638300159E+01; -7.616502289859666E-01
 -1.478796031784806E+07; -1.953303001336782E+08;  4.131527900345325E+05;  2.424502760524991E+01;  1.477916574316772E+01; -7.616520760804519E-01
 -1.478068700013730E+07; -1.953258662550625E+08;  4.129242941347957E+05;  2.424375712720948E+01;  1.478002501284923E+01; -7.616539220107317E-01
 -1.477341406357530E+07; -1.953214321186795E+08;  4.126957976814508E+05;  2.424248661344010E+01;  1.478088419204031E+01; -7.616557667814536E-01
 -1.476614150817278E+07; -1.953169977245563E+08;  4.124673006748557E+05;  2.424121606395810E+01;  1.478174328073594E+01; -7.616576103972488E-01
 -1.475886933394048E+07; -1.953125630727201E+08;  4.122388031153232E+05;  2.423994547877979E+01;  1.478260227893189E+01; -7.616594528627196E-01
 -1.475159754088911E+07; -1.953081281631980E+08;  4.120103050032407E+05;  2.423867485792146E+01;  1.478346118662472E+01; -7.616612941824261E-01
 -1.474432612902933E+07; -1.953036929960172E+08;  4.117818063389212E+05;  2.423740420139934E+01;  1.478432000381169E+01; -7.616631343608411E-01
 -1.473705509837180E+07; -1.952992575712048E+08;  4.115533071227372E+05;  2.423613350922950E+01;  1.478517873049088E+01; -7.616649734023717E-01
 -1.472978444892734E+07; -1.952948218887879E+08;  4.113248073549867E+05;  2.423486278142792E+01;  1.478603736666105E+01; -7.616668113112972E-01
 -1.472251418070650E+07; -1.952903859487939E+08;  4.110963070360869E+05;  2.423359201801035E+01;  1.478689591232167E+01; -7.616686480917894E-01
 -1.471524429372007E+07; -1.952859497512496E+08;  4.108678061662614E+05;  2.423232121899231E+01;  1.478775436747288E+01; -7.616704837478681E-01
 -1.470797478797868E+07; -1.952815132961824E+08;  4.106393047459424E+05;  2.423105038438907E+01;  1.478861273211547E+01; -7.616723182834049E-01
 -1.470070566349298E+07; -1.952770765836194E+08;  4.104108027753830E+05;  2.422977951421558E+01;  1.478947100625085E+01; -7.616741517020857E-01
 -1.469343692027375E+07; -1.952726396135877E+08;  4.101823002550155E+05;  2.422850860848644E+01;  1.479032918988097E+01; -7.616759840074012E-01
 -1.468616855833143E+07; -1.952682023861145E+08;  4.099537971851081E+05;  2.422723766721589E+01;  1.479118728300835E+01; -7.616778152026313E-01
 -1.467890057767695E+07; -1.952637649012269E+08;  4.097252935659885E+05;  2.422596669041771E+01;  1.479204528563595E+01; -7.616796452908243E-01
 -1.467163297832075E+07; -1.952593271589522E+08;  4.094967893980443E+05;  2.422469567810525E+01;  1.479290319776721E+01; -7.616814742747886E-01
 -1.466436576027361E+07; -1.952548891593173E+08;  4.092682846815437E+05;  2.422342463029132E+01;  1.479376101940591E+01; -7.616833021570573E-01
 -1.465709892354617E+07; -1.952504509023496E+08;  4.090397794168442E+05;  2.422215354698822E+01;  1.479461875055621E+01; -7.616851289398872E-01
 -1.464983246814898E+07; -1.952460123880760E+08;  4.088112736042887E+05;  2.422088242820766E+01;  1.479547639122248E+01; -7.616869546252341E-01
 -1.464256639409280E+07; -1.952415736165239E+08;  4.085827672442049E+05;  2.421961127396070E+01;  1.479633394140935E+01; -7.616887792147446E-01
 -1.463530070138812E+07; -1.952371345877202E+08;  4.083542603368908E+05;  2.421834008425777E+01;  1.479719140112157E+01; -7.616906027097254E-01
 -1.462803539004579E+07; -1.952326953016922E+08;  4.081257528826743E+05;  2.421706885910860E+01;  1.479804877036394E+01; -7.616924251111392E-01
 -1.462077046007624E+07; -1.952282557584671E+08;  4.078972448818982E+05;  2.421579759852215E+01;  1.479890604914129E+01; -7.616942464195846E-01
 -1.461350591149017E+07; -1.952238159580718E+08;  4.076687363349348E+05;  2.421452630250663E+01;  1.479976323745834E+01; -7.616960666352668E-01
 -1.460624174429825E+07; -1.952193759005336E+08;  4.074402272420377E+05;  2.421325497106940E+01;  1.480062033531969E+01; -7.616978857580081E-01
 -1.459897795851105E+07; -1.952149355858797E+08;  4.072117176035941E+05;  2.421198360421699E+01;  1.480147734272964E+01; -7.616997037872117E-01
 -1.459171455413929E+07; -1.952104950141370E+08;  4.069832074198872E+05;  2.421071220195500E+01;  1.480233425969221E+01; -7.617015207218438E-01
 -1.458445153119344E+07; -1.952060541853329E+08;  4.067546966912597E+05;  2.420944076428811E+01;  1.480319108621096E+01; -7.617033365604335E-01
